Решение о выпуске~Условия выпуска ценных бумаг
Обыкновенные акции~обыкновенная
Общество с ограниченной ответственностью "РГС Недвижимость"~"РГС Недвижимость" ООО
Деньги у брокеров и в торговых системах (RUB)~Денежные средства на брокерском счете
Общество с ограниченной ответственностью «Брокерская компания «РЕГИОН»~ООО "БК РЕГИОН"
119017, г.Москва, ул.Б.Ордынка, д.40, стр.4~119017, г. Москва, ул. Б.Ордынка 40 стр 4
НКД~Накопленный купонный доход
ЗАО "Фондовая биржа ММВБ"~ЗАО "ФБ ММВБ"
Общество с ограниченной ответственностью "ВосходИнвест"~ООО "ВосходИнвест"
Общество с ограниченной ответственностью "ЭнергоКонтракт"~ООО "ЭнергоКонтракт"
Общество с ограниченной ответственностью "ПромАктив"~ООО "ПромАктив"
Общество с ограниченной ответственностью "ПромИнвест"~ООО "ПромИнвест"
Общество с ограниченной ответственностью "ПромТраст"~ООО "ПромТраст"
по купонному доходу по ценным бумагам~Накопленный купонный доход
Решение о выпуске~Условия выпуска ценных бумаг
107174, Россия, г. Москва, ул. Новая Басманная, д. 2~107174,ГОРОД МОСКВА,,,,УЛИЦА БАСМАННАЯ НОВ.,ДОМ 2
420066, Республика Татарстан, г. Казань, ул. Декабристов, д. 1~420066, респ. Татарстан, г.Казань, ул. Декабристов 1
450077, Российская Федерация, Республика Башкортостан, г. Уфа, ул. Карла Маркса, д. 30, к. 1~450077, респ. Башкортостан, г.Уфа, ул. Карла Маркса 30 корп. 1
Российская Федерация, 109147, г. Москва, ул. Марксистская, д. 4~109147,ГОРОД МОСКВА,,,,УЛИЦА МАРКСИСТСКАЯ,4,,,
129110, Москва, Банный пер., д.9~129110, г.Москва, Банный переулок 9
Правительство Ханты-Мансийского автономного округа -Югры~Ханты-Мансийский автономный округ (Правительство)
628011, Автономный округ Ханты-Мансийский - Югра, г. Ханты- Мансийск, ул. Мира, 5~628011, Ханты-Манскийский автономный округ - Югра, г. Ханты-Мансийск, ул. мира 5
191002, Российская Федерация, г. Санкт - Петербург, ул. Достоевского, дом 15~191002, г.Санкт-Петербург, ул. Достоевского 15
Россия, 109097, Москва, ул. Ильинка, д. 9, стр 1~109097,ГОРОД МОСКВА,УЛИЦА ИЛЬИНКА,9,СТР.1,,
119034, г. Москва, Гагаринский пер., д.3.~119034,ГОРОД МОСКВА,,,,ПЕРЕУЛОК ГАГАРИНСКИЙ,3
125009 г. Москва, ул. Воздвиженка, дом 10~125009, ГОРОД МОСКВА, УЛИЦА ВОЗДВИЖЕНКА, ДОМ 10
117420, г. Москва, ул. Наметкина, 16,~117420,ГОРОД МОСКВА,,,,УЛИЦА НАМЁТКИНА,ДОМ 16,,,
по купонному доходу по ценным бумагам~Дебиторская задолженность эмитента по выплате купонного дохода
ПАО "Газпром"~"Газпром" ПАО
ОАО "Сургутнефтегаз"~"Сургутнефтегаз" ОАО
119049, г. Москва, ул. Шаболовка, д. 10, корп. 2~119049, г.Москва, ул. Шаболовка, д.10, стр.2
Вознаграждение спецдепозитария и регистратора~Расчеты по вознаграждению со специализированным депозитарием
Российская Федерация, 628415, Тюменская обл., Ханты-Мансийский автономный округ - Югра, г.Сургут, ул.Григория Кукуевицкого, 1, корпус 1~628415,АВТОНОМНЫЙ ОКРУГ ХАНТЫ-МАНСИЙСКИЙ АВТОНОМНЫЙ ОКРУГ - ЮГРА,,ГОРОД СУРГУТ,,УЛИЦА ГРИГОРИЯ КУКУЕВИЦКОГО,1,1,,
Обязательство по выплате дивидендов~Дивиденды начисленные
решение Общего собрания акционеров~Решение о выплате дивидендов
00.00.0000~не установлена
ПАО "Татнефть" имени В.Д.Шашина~ПАО «Татнефть» им. В.Д. Шашина
Привилегированные акции~привилегированная
Капиталовложения в ценные бумаги; капиталовложения в собственность; операции с недвижимым имуществом, в т.ч. покупка и продажа нежилых зданий и помещений, многоквартирных зданий и других жилых домов, квартир, земельных участков; сдача в аренду собственного недвижимого имущества; торговля машинами, оборудованием, транспортными средствами, приборами, аппаратурой; и оборудованием общепромышленного и специального назначения; оптовая торговля прочими машинами и оборудованием; прочая оптовая торговля; аренда машин и оборудования, в том числе транспортных средств, прочих машин и оборудования научного и промышленного назначения; консультирование по вопросам коммерческой деятельности и управления; предоставление прочих деловых услуг~Основной: капиталовложения в ценные бумаги; дополнительные: капиталовложения в собственность, операции с недв. имуществом, сдача в аренду собств. недвиж. им-ва, торговля машинами, обрудованием
Общество с ограниченной ответственностью "ПромКонтракт"~ООО "ПромКонтракт"
Общество с ограниченной ответственностью "ПромКапитал"~ООО "ПромКапитал"
Капиталовложения в собственность; капиталовложения в ценные бумаги; операции с недвижимым имуществом, в т.ч. покупка и продажа нежилых зданий и помещений, многоквартирных зданий и других жилых домов, квартир, земельных участков; сдача в аренду собственного недвижимого имущества; торговля машинами, оборудованием, транспортными средствами, приборами, аппаратурой; и оборудованием общепромышленного и специального назначения; оптовая торговля прочими машинами и оборудованием; прочая оптовая торговля; аренда машин и оборудования, в том числе транспортных средств, прочих машин и оборудования научного и промышленного назначения; консультирование по вопросам коммерческой деятельности и управления; предоставление прочих деловых услуг~Основной: капиталовложения в собственность; дополнительные: консультирование по вопросам коммерческой деятельности и управления, аренда прочих машин и оборудования, не включенных в другие группировки,
Общество с ограниченной ответственностью "БизнесКонцепт"~ООО "БизнесКонцепт"
Капиталовложения в ценные бумаги; капиталовложения в собственность; операции с недвижимым имуществом, в т.ч. покупка и продажа нежилых зданий и помещений, многоквартирных зданий и других жилых домов, квартир, земельных участков; сдача в аренду собственного недвижимого имущества; торговля машинами, оборудованием, транспортными средствами, приборами, аппаратурой; и оборудованием общепромышленного и специального назначения; оптовая торговля прочими машинами и оборудованием; прочая оптовая торговля; аренда машин и оборудования, в том числе транспортных средств, прочих машин и оборудования научного и промышленного назначения; консультирование по вопросам коммерческой деятельности и управления; предоставление прочих деловых услуг~Основной: капиталовложения в ценные бумаги; дополнительные: опт. торг. станками, опт. торг. машинами и оборудов. для строит-ва, опт. торг. машинами и обрудов. для текстил.,швейного и трикотаж. произ-в
Капиталовложения в ценные бумаги; консультирование по вопросам коммерческой деятельности и управления;аренда прочих машин и оборудования, не включенных в другие группировки;сдача в наем собственного недвижимого имущества; прочая оптовая торговля; оптовая торговля прочими машинами и оборудованием; оптовая торговля машинами и оборудованием для текстильного, швейного и трикотажного производств;оптовая торговля машинами и оборудованием для строительства; оптовая торговля станками; управление недвижимым имуществом; подготовка к продаже собственного недвижимосго имущества;покупка и продажа собственного недвижимого имущества;капиталовложения в собственность~Основной: капиталовложения в ценные бумаги; дополнительные: консультирование по вопросам коммерческой деятельности и управления, аренда прочих машин и оборудования, не включенных в другие группировки,
Соглашение № 2093-Ю/250615Б о брокерском обслуживании от 25.06.2015г.~Договор с брокером Соглашение о брокерском обслуживании №2093-Ю/250615Б от 25.06.2015
Расчеты с Управляющей компанией~Расчеты с УК
Расчеты со Спец.депозитарием~Расчеты со специализированным депозитарием
Расчеты с регистратором~Расчеты со специализированным регистратором
не установлен~00.00.0000
Общество с ограниченной ответственностью "ТМ-ТРАСТ"~ООО "ТМ-ТРАСТ"
630099, Новосибирская область, г. Новосибирск, ул. М. Горького, Дом № 77, этаж 7~Российская Федерация, Новосибирская обл., г. Новосибирск, ул. Максима Горького, дом 77
